TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
CPFF11;59,50;0,340000;11,38;77,44;0,77;353.502,46;0,96;-0,82;-12,06;197.712.406,11;11.748,00;Ativa;2.553.074,00
BCFF11;62,18;0,560000;10,78;73,67;0,84;2.023.023,79;5,95;5,97;-10,81;1.855.471.697,70;310.386,00;Ativa;25.186.378,00
PRTS11;117,70;0,054870;0,05;0,06;1.961,67;;103,36;;;3.111.607,44;11,00;Ativa;55.727.500,00
WHGR11;8,50;0,100000;9,88;9,96;0,85;543.734,14;1,27;;;249.780.753,10;3.559,00;Ativa;25.089.531,00
LASC11;104,50;0,910000;8,92;106,30;0,98;2.642,00;9,05;24,51;;312.550.406,70;353,00;Ativa;2.940.298,00
PATC11;65,00;0,220000;6,77;76,50;0,85;214.889,04;0,99;8,50;-9,77;266.018.976,86;8.307,00;Ativa;3.477.434,00
CBOP11;40,30;0,120000;15,66;73,87;0,55;33.763,25;1,43;2,44;-21,08;104.523.734,87;3.756,00;Passiva;1.415.000,00
VILG11;84,00;0,530000;9,89;112,05;0,75;2.513.874,00;0,57;7,23;-9,68;1.680.476.898,92;157.293,00;Ativa;14.997.396,00
PABY11;12,59;;0,00;-16,53;;3.361,89;;;-5,92;-12.536.949,41;698,00;Passiva;758.400,00
VISC11;103,50;0,800000;8,63;124,34;0,83;2.439.466,61;3,60;30,21;-1,41;2.311.553.641,72;238.692,00;Ativa;18.591.052,00
VLIQ11;0,00;;0,00;0,00;;;;;;0,00;1,00;Ativa;0,00
RBRX11;82,60;1,050000;14,19;93,71;0,88;659.082,71;4,31;;;176.246.204,73;3.556,00;Ativa;1.880.688,00
GTWR11;77,30;0,790000;11,68;94,74;0,82;701.152,79;1,00;3,12;-9,99;1.136.832.641,35;26.661,00;Ativa;12.000.000,00
CACR11;103,56;1,420000;16,90;104,75;0,99;440.210,64;2,30;;;189.335.299,01;9.048,00;Ativa;1.807.434,00
MOFF11;0,00;;0,00;906,64;;;0,23;;;190.453.540,67;3,00;Ativa;210.066,00
HCTR11;72,54;0,700000;20,50;120,55;0,60;7.805.962,14;1,16;-11,74;-14,33;2.662.283.878,50;211.847,00;Ativa;22.084.202,00
NVHO11;11,50;0,083207;8,34;13,96;0,82;1.635,57;1,48;1,67;3,08;579.233.139,26;2.243,00;Ativa;41.494.533,00
VVPR11;101,50;0,892340;5,49;98,03;1,04;1.249.061,55;1,27;;-0,65;226.032.234,18;1.372,00;Ativa;2.305.771,00
CXCO11;68,06;0,510000;13,42;99,34;0,69;162.346,36;1,41;;;389.867.445,16;13.301,00;Passiva;3.924.500,00
BARI11;79,40;0,900000;16,88;95,20;0,83;775.796,11;4,71;1,04;-7,11;441.182.476,84;39.858,00;Ativa;4.634.191,00
RZTR11;85,20;0,850000;16,21;96,50;0,88;3.051.506,11;4,12;;;1.066.113.876,24;81.456,00;Ativa;11.048.018,00
MFAI11;57,40;0,570000;13,38;68,59;0,84;46.219,57;0,61;;;21.679.671,82;3.518,00;Ativa;316.074,00
HUSC11;100,00;0,850000;10,66;146,44;0,68;7.248,38;0,67;7,35;-11,65;116.361.286,88;756,00;Passiva;794.613,00
PRZS11;0,00;;0,00;152,16;;;0,28;;;103.559.710,99;20,00;Ativa;680.619,00
BBFI11B;1.386,70;27,081678;23,31;2.825,95;0,49;454.920,43;6,58;2,98;-15,09;367.372.921,94;8.335,00;Passiva;130.000,00
DAMT11B;14,40;0,105251;2,90;13,19;1,09;2.039,36;1,56;;;96.386.872,04;578,00;Passiva;7.305.341,00
ERPA11;123,96;0,657006;5,29;137,06;0,90;64.316,44;1,02;;;68.656.083,51;330,00;Passiva;500.922,00
ALMI11;800,51;0,371133;0,00;2.020,24;0,40;29.545,52;1,70;;-23,67;224.603.756,71;2.565,00;Passiva;111.177,00
BBPO11;82,70;0,900000;13,16;100,75;0,82;1.497.666,75;4,62;-5,43;-16,49;1.603.971.546,08;74.456,00;Passiva;15.919.690,00
BCRI11;82,20;0,800000;17,21;100,38;0,82;757.509,18;5,05;10,60;-7,84;628.182.442,20;47.224,00;Ativa;6.257.873,00
AURB11;0,00;0,550000;0,00;90,15;;;1,29;;;79.378.141,95;5,00;Ativa;880.560,00
HBRH11;91,90;0,609300;8,56;113,19;0,81;30.076,63;0,83;-1,01;;313.796.960,50;1.265,00;Ativa;2.772.204,00
RINV11;95,50;0,900000;1,83;96,76;0,99;385.801,94;6,42;;;29.040.227,40;76,00;Ativa;300.129,00
XPPR11;25,79;0,100000;15,32;74,55;0,35;493.088,21;1,94;-20,16;-33,09;545.397.975,50;67.546,00;Ativa;7.316.171,00
KISU11;7,94;0,075000;11,46;8,50;0,93;770.155,54;2,17;;;375.784.403,68;118.229,00;Ativa;44.196.050,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
MORE11;61,03;0,660000;13,04;81,30;0,75;353.408,64;2,14;;;188.535.634,82;17.743,00;Ativa;2.319.115,00
SNFF11;85,45;0,650000;10,83;86,42;0,99;453.202,61;0,98;;;244.578.976,26;33.268,00;Ativa;2.830.000,00
HSAF11;76,75;0,900000;15,64;91,07;0,84;456.373,82;3,25;;;230.072.809,20;8.233,00;Ativa;2.526.360,00
BLMG11;65,33;0,780000;14,65;94,91;0,69;525.224,82;3,92;;;361.649.669,40;12.271,00;Ativa;3.810.588,00
ONEF11;171,92;0,980000;6,51;201,53;0,85;67.148,36;1,09;13,95;4,30;183.590.865,67;3.275,00;Passiva;911.000,00
JSRE11;62,66;0,460000;9,33;112,82;0,56;1.930.215,36;0,12;-0,29;-14,71;2.342.973.830,47;87.407,00;Ativa;20.767.328,00
BPML11;57,52;0,270465;4,77;124,12;0,46;12.998,07;0,84;;-19,44;534.355.401,39;1.587,00;Passiva;4.305.079,00
JCDA11;0,00;;0,00;10,91;;;3,15;;;156.014.386,02;50,00;Passiva;14.304.223,00
MORC11;94,68;1,150000;16,32;97,62;0,97;265.770,21;2,20;;;126.115.677,34;4.730,00;Ativa;1.291.942,00
SOLR11;1.128,06;8,746402;8,53;916,19;1,23;1.058,50;0,14;;;57.612.475,10;52,00;Ativa;62.883,00
REIT11;180,00;2,780000;18,14;284,80;0,63;1.550,25;6,31;;-47,77;7.487.655,25;66,00;Ativa;26.291,00
CXCE11B;39,60;0,411111;11,65;65,61;0,60;13.943,18;6,67;-23,53;-25,25;112.388.124,70;4.034,00;Passiva;1.712.950,00
BTWR11;107,00;0,400000;5,34;111,54;0,96;214,00;2,07;;;90.269.881,80;64,00;Passiva;809.269,00
BLCA11;115,00;0,580000;5,62;142,58;0,81;24.558,83;4,13;;;228.125.530,48;143,00;Ativa;1.600.000,00
